instrument_id,quantity,buy_value,sell_value,realized_pnl,realized_pnl_pct
118.0,25,832.5,1000.0,167.5,20.1201
117.0,100,5445.0,5647.5,202.5,3.719
116.0,50,2793.75,3630.0,836.25,29.9329
115.0,100,7727.5,7572.5,-155.0,-2.0058
114.0,100,1725.0,3022.5,1297.5,75.2174
113.0,50,4377.5,4998.75,621.25,14.9199
112.0,100,10398.75,10168.75,-230.0,-2.2118
124.0,25,2772.5,1557.5,-1215.0,-43.8233
123.0,25,16131.25,17591.25,1460.0,9.0508
122.0,125,16792.5,17581.25,788.75,4.697
121.0,50,7453.75,8712.5,1258.75,16.8875
120.0,100,14812.5,15403.75,591.25,3.9916
126.0,75,5855.0,6190.0,335.0,5.7216
125.0,100,20733.75,18866.75,-1868.75,-9.0131
119.0,100,5655.0,5782.5,127.5,2.2546
110.0,25,4736.25,4867.5,131.25,2.772
109.0,25,9105.0,8971.25,-133.75,-1.469
152.0,25,2471.25,2081.25,-390.0,-15.7815
151.0,100,4148.75,4643.75,495.0,11.9313
150.0,30,6820.5,7764.75,944.25,13.8443
149.0,30,3680.25,2216.25,-1310.25,-37.1544
148.0,25,2670.0,3708.75,1038.75,38.9045
147.0,25,2076.75,1733.25,-343.5,-16.5403
144.0,150,1431.0,1520.25,89.25,6.2369
143.0,100,4065.0,5915.25,1850.25,45.5166
142.0,25,5826.25,3363.0,-1463.25,-25.1105
141.0,15,5759.25,3123.75,-2635.5,-45.7612
140.0,15,7532.25,7395.75,-136.5,-1.8122
139.0,15,17730.0,17923.5,193.5,1.0743
138.0,15,4949.25,3959.25,-990.0,-20.0162
